Team,Points@H,Total,Points@A,Pos
Man City,-,59.0,30.0,1
Man City,-,56.0,27.0,2
Man United,21.0,49.0,-,3
Leicester,-,49.0,30.0,4
Man United,-,46.0,28.0,5
Leicester,19.0,46.0,-,6
West Ham,24.0,45.0,-,7
Chelsea,-,43.0,21.0,8
Chelsea,22.0,42.0,-,9
West Ham,21.0,42.0,-,10
Liverpool,-,40.0,17.0,11
Liverpool,23.0,40.0,-,12
Everton,-,40.0,26.0,13
Tottenham,21.0,39.0,-,14
Everton,14.0,37.0,-,15
Aston Villa,-,36.0,20.0,16
Aston Villa,16.0,36.0,-,17
Tottenham,-,36.0,18.0,18
Leeds,17.0,35.0,-,19
Arsenal,18.0,34.0,-,20
Wolves,19.0,33.0,-,21
Leeds,-,32.0,18.0,22
Crystal Palace,-,32.0,17.0,23
Southampton,17.0,30.0,-,24
Wolves,-,30.0,14.0,25
Southampton,-,30.0,13.0,26
Crystal Palace,15.0,29.0,-,27
Southampton,16.0,29.0,-,28
Burnley,16.0,28.0,-,29
Burnley,-,28.0,12.0,30
Burnley,15.0,27.0,-,31
Brighton,10.0,26.0,-,32
Burnley,-,26.0,12.0,33
Brighton,10.0,26.0,-,34
Newcastle,-,25.0,11.0,35
Newcastle,-,25.0,11.0,36
Fulham,10.0,22.0,-,37
Fulham,-,19.0,12.0,38
West Brom,-,14.0,7.0,39
West Brom,7.0,13.0,-,40
Sheffield United,-,11.0,4.0,41
Sheffield United,-,11.0,4.0,42
